n,prime,chi5,S_n,is_tie,gap_to_next_tie
425,6491,1,2,False,
426,6521,1,3,False,
427,6551,1,4,False,
428,6563,-1,3,False,
429,6569,1,4,False,
430,6581,1,5,False,
431,6599,1,6,False,
432,6653,-1,5,False,
433,6659,1,6,False,
434,6689,1,7,False,
435,6701,1,8,False,
436,6719,1,9,False,
437,6737,-1,8,False,
438,6761,1,9,False,
439,6779,1,10,False,
440,6791,1,11,False,
441,6803,-1,10,False,
442,6827,-1,9,False,
443,6833,-1,8,False,
444,6857,-1,7,False,
445,6863,-1,6,False,
446,6869,1,7,False,
447,6899,1,8,False,
448,6911,1,9,False,
449,6917,-1,8,False,
450,6947,-1,7,False,
451,6959,1,8,False,
452,6971,1,9,False,
453,6977,-1,8,False,
454,6983,-1,7,False,
455,7001,1,8,False,
456,7013,-1,7,False,
457,7019,1,8,False,
458,7043,-1,7,False,
459,7079,1,8,False,
460,7103,-1,7,False,
461,7109,1,8,False,
462,7121,1,9,False,
463,7127,-1,8,False,
464,7151,1,9,False,
465,7187,-1,8,False,
466,7193,-1,7,False,
467,7211,1,8,False,
468,7229,1,9,False,
469,7247,-1,8,False,
470,7253,-1,7,False,
471,7283,-1,6,False,
472,7307,-1,5,False,
473,7331,1,6,False,
474,7349,1,7,False,
475,7433,-1,6,False,
476,7451,1,7,False,
477,7457,-1,6,False,
478,7481,1,7,False,
479,7487,-1,6,False,
480,7499,1,7,False,
481,7517,-1,6,False,
482,7523,-1,5,False,
483,7529,1,6,False,
484,7541,1,7,False,
485,7547,-1,6,False,
486,7559,1,7,False,
487,7577,-1,6,False,
488,7583,-1,5,False,
489,7589,1,6,False,
490,7607,-1,5,False,
491,7643,-1,4,False,
492,7649,1,5,False,
493,7673,-1,4,False,
494,7691,1,5,False,
495,7703,-1,4,False,
496,7727,-1,3,False,
497,7757,-1,2,False,
498,7793,-1,1,False,
499,7817,-1,0,True,2
500,7823,-1,-1,False,
501,7829,1,0,True,2
502,7841,1,1,False,
503,7853,-1,0,True,8
504,7877,-1,-1,False,
505,7883,-1,-2,False,
506,7901,1,-1,False,
507,7907,-1,-2,False,
508,7919,1,-1,False,
509,7937,-1,-2,False,
510,7949,1,-1,False,
511,8009,1,0,True,8
512,8039,1,1,False,
513,8069,1,2,False,
514,8081,1,3,False,
515,8087,-1,2,False,
516,8093,-1,1,False,
517,8111,1,2,False,
518,8117,-1,1,False,
519,8123,-1,0,True,2
520,8147,-1,-1,False,
521,8171,1,0,True,4
522,8219,1,1,False,
523,8231,1,2,False,
524,8237,-1,1,False,
525,8243,-1,0,True,2
526,8273,-1,-1,False,
527,8291,1,0,True,70
528,8297,-1,-1,False,
529,8363,-1,-2,False,
530,8369,1,-1,False,
531,8387,-1,-2,False,
532,8423,-1,-3,False,
533,8429,1,-2,False,
534,8447,-1,-3,False,
535,8501,1,-2,False,
536,8513,-1,-3,False,
537,8537,-1,-4,False,
538,8543,-1,-5,False,
539,8573,-1,-6,False,
540,8597,-1,-7,False,
541,8609,1,-6,False,
542,8627,-1,-7,False,
543,8663,-1,-8,False,
